indx,MATCHUP,rival,date,day,month,year,season,H/A,W/L,W,L,totW,totL,wlRatio,seasonW,seasonL,seasonWratio,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,gameType
1,10/17/2018 - TOR vs. CLE,CLE,10/17/2018,17,10,2018,18-19,h,W,1,0,1,0,1.000,1,0,1,240,116,45,92,48.9,14,33,42.4,12,20,60,8,35,43,21,6,7,9,29,regular
2,10/19/2018 - TOR vs. BOS,BOS,10/19/2018,19,10,2018,18-19,h,W,1,0,2,0,1.000,2,0,1,240,113,43,92,46.7,13,35,37.1,14,19,73.7,12,37,49,24,3,3,12,19,regular
3,10/20/2018 - TOR @ WAS,WAS,10/20/2018,20,10,2018,18-19,a,W,1,0,3,0,1.000,3,0,1,240,117,39,88,44.3,10,29,34.5,29,36,80.6,14,38,52,21,5,5,17,29,regular
4,10/22/2018 - TOR vs. CHA,CHA,10/22/2018,22,10,2018,18-19,h,W,1,0,4,0,1.000,4,0,1,240,127,50,87,57.5,15,39,38.5,12,14,85.7,5,41,46,36,10,8,13,21,regular
5,10/24/2018 - TOR vs. MIN,MIN,10/24/2018,24,10,2018,18-19,h,W,1,0,5,0,1.000,5,0,1,240,112,46,89,51.7,11,32,34.4,9,12,75,11,33,44,26,9,8,16,18,regular
6,10/26/2018 - TOR vs. DAL,DAL,10/26/2018,26,10,2018,18-19,h,W,1,0,6,0,1.000,6,0,1,240,116,44,91,48.4,11,27,40.7,17,20,85,12,38,50,23,10,5,12,22,regular
7,10/29/2018 - TOR @ MIL,MIL,10/29/2018,29,10,2018,18-19,a,L,0,1,6,1,0.857,6,1,0.857,240,109,39,103,37.9,9,45,20,22,28,78.6,15,36,51,25,9,7,10,19,regular
8,10/30/2018 - TOR vs. PHI,PHI,10/30/2018,30,10,2018,18-19,h,W,1,0,7,1,0.875,7,1,0.875,240,129,47,92,51.1,11,27,40.7,24,28,85.7,9,34,43,29,13,6,15,26,regular
9,11/02/2018 - TOR @ PHX,PHX,11/02/2018,2,11,2018,18-19,a,W,1,0,8,1,0.889,8,1,0.889,240,107,41,81,50.6,12,33,36.4,13,21,61.9,6,33,39,29,11,10,13,23,regular
10,11/04/2018 - TOR @ LAL,LAL,11/04/2018,4,11,2018,18-19,a,W,1,0,9,1,0.900,9,1,0.9,240,121,49,98,50,10,35,28.6,13,14,92.9,13,36,49,32,9,4,12,24,regular
11,11/05/2018 - TOR @ UTA,UTA,11/05/2018,5,11,2018,18-19,a,W,1,0,10,1,0.909,10,1,0.909,240,124,49,86,57,13,33,39.4,13,14,92.9,7,36,43,21,9,3,14,28,regular
12,11/07/2018 - TOR @ SAC,SAC,11/07/2018,7,11,2018,18-19,a,W,1,0,11,1,0.917,11,1,0.917,240,114,41,89,46.1,11,36,30.6,21,23,91.3,13,40,53,17,10,4,20,20,regular
13,11/10/2018 - TOR vs. NYK,NYK,11/10/2018,10,11,2018,18-19,h,W,1,0,12,1,0.923,12,1,0.923,240,128,42,79,53.2,14,35,40,30,40,75,12,34,46,24,8,4,15,20,regular
14,11/12/2018 - TOR vs. NOP,NOP,11/12/2018,12,11,2018,18-19,h,L,0,1,12,2,0.857,12,2,0.857,240,110,39,97,40.2,13,45,28.9,19,22,86.4,13,30,43,22,9,5,10,20,regular
15,11/14/2018 - TOR vs. DET,DET,11/14/2018,14,11,2018,18-19,h,L,0,1,12,3,0.800,12,3,0.8,240,104,45,92,48.9,4,20,20,10,17,58.8,12,37,49,23,9,3,20,19,regular
16,11/16/2018 - TOR @ BOS,BOS,11/16/2018,16,11,2018,18-19,a,L,0,1,12,4,0.750,12,4,0.75,265,116,42,97,43.3,8,29,27.6,24,29,82.8,11,32,43,20,12,4,13,23,regular
